brand,avg_rating,review_count,rating_std,verified_ratio,avg_helpful_votes,avg_sentiment_score,positive_ratio,avg_text_length,first_review_date,last_review_date,brand_age_days,norm_rating,norm_helpful,brand_reputation_score,brs_category
#followme,4.228287841191067,403,1.1876201364843635,0.9503722084367245,1.2084367245657568,0.5423841191066998,0.8287841191066998,144.68238213399505,2017-08-14 01:13:17.806,2023-03-11 12:22:30.734,2035,0.8070719602977667,0.12084367245657568,67.68,Good (60-70)
*daisysboutique*,4.6909090909090905,55,0.7421871400406711,0.9454545454545454,0.8363636363636363,0.6364872727272727,0.9454545454545454,111.69090909090909,2016-11-17 00:22:26.000,2023-01-27 18:56:04.944,2262,0.9227272727272726,0.08363636363636363,72.43,Very Good (70-80)
12 Ami,4.214285714285714,84,1.2807323636354861,1.0,2.8452380952380953,0.5893440476190476,0.8452380952380952,161.8095238095238,2015-07-02 19:30:48.000,2022-10-19 22:10:05.163,2666,0.8035714285714286,0.2845238095238095,73.33,Very Good (70-80)
2(X)IST,4.344827586206897,58,1.147869485489042,0.9655172413793104,0.39655172413793105,0.5214068965517241,0.7586206896551724,145.05172413793105,2013-04-24 12:25:45.000,2022-10-08 11:35:13.622,3453,0.8362068965517242,0.039655172413793106,65.0,Good (60-70)
28 Palms,4.136363636363637,66,1.1216246957168687,0.7727272727272727,0.7575757575757576,0.5890757575757576,0.8636363636363636,198.04545454545453,2018-02-23 01:30:16.028,2022-08-20 05:06:59.369,1639,0.7840909090909092,0.07575757575757576,62.41,Good (60-70)
2LUV,3.734375,64,1.4932885569392522,1.0,1.765625,0.46014375,0.75,152.765625,2014-07-25 15:30:31.000,2023-01-23 00:14:27.918,3103,0.68359375,0.1765625,65.25,Good (60-70)
32º DEGREES,4.521951219512195,205,1.0125468265913296,0.9463414634146341,1.0146341463414634,0.6408912195121951,0.9170731707317074,178.99512195121952,2015-05-26 00:04:56.000,2023-03-03 07:43:05.968,2838,0.8804878048780487,0.10146341463414635,71.13,Very Good (70-80)
365 Sleepers,4.098039215686274,51,1.3454352747090332,0.9607843137254902,0.9411764705882353,0.5077313725490197,0.7843137254901961,217.1764705882353,2016-11-13 21:00:51.000,2023-03-05 13:37:34.536,2302,0.7745098039215685,0.09411764705882353,65.34,Good (60-70)
4ucycling,4.216,125,1.0046986388159933,0.976,0.408,0.5816952,0.864,230.632,2014-12-28 00:53:13.000,2023-02-19 00:53:34.442,2975,0.804,0.040799999999999996,67.12,Good (60-70)
5.11,4.436802973977695,538,1.023332363821269,0.9591078066914498,1.016728624535316,0.583942565055762,0.8513011152416357,250.59665427509293,2012-05-21 19:19:06.000,2023-03-08 03:21:47.157,3942,0.8592007434944238,0.1016728624535316,69.28,Good (60-70)
5Mayi,4.096774193548387,124,1.3216112046434765,0.9758064516129032,1.3790322580645162,0.46573467741935487,0.7419354838709677,138.26612903225808,2017-09-11 03:58:54.650,2023-03-16 17:11:37.902,2012,0.7741935483870968,0.13790322580645162,65.75,Good (60-70)
