brand,brand_reputation_score,review_count,avg_helpful_votes,avg_rating,BRS_Category
#followme,67.68,403,1.2084367245657568,4.228287841191067,Good (60-70)
*daisysboutique*,72.43,55,0.8363636363636363,4.6909090909090905,Very Good (70-80)
12 Ami,73.33,84,2.845238095238096,4.214285714285714,Very Good (70-80)
2(X)IST,65.0,58,0.396551724137931,4.344827586206897,Good (60-70)
28 Palms,62.41,66,0.7575757575757576,4.136363636363637,Good (60-70)
2LUV,65.25,64,1.765625,3.734375,Good (60-70)
32º DEGREES,71.13,205,1.0146341463414634,4.521951219512195,Very Good (70-80)
365 Sleepers,65.34,51,0.9411764705882352,4.098039215686274,Good (60-70)
4ucycling,67.12,125,0.408,4.216,Good (60-70)
5.11,69.28,538,1.016728624535316,4.436802973977695,Good (60-70)
5Mayi,65.75,124,1.3790322580645162,4.096774193548387,Good (60-70)
7th Element,69.67,56,0.4107142857142857,4.410714285714286,Good (60-70)
90 Degree By Reflex,72.38,663,2.1689291101055805,4.298642533936651,Very Good (70-80)
A AGROSTE,65.86,57,0.8596491228070176,4.035087719298246,Good (60-70)
A2Y,66.19,67,0.8059701492537313,4.164179104477612,Good (60-70)
A4,68.37,121,1.4793388429752066,4.1735537190082646,Good (60-70)
ACEVOG,70.13,157,3.305732484076433,3.917197452229299,Very Good (70-80)
ACTINPUT,67.38,131,0.5190839694656488,4.366412213740458,Good (60-70)
ACdream,69.75,60,0.3166666666666666,4.633333333333334,Good (60-70)
AELSON,55.2,69,0.3768115942028985,3.246376811594203,Fair (50-60)
AEROTHOTIC,62.79,288,0.5416666666666666,4.135416666666667,Good (60-70)
AERO|TECH|DESIGNS,68.35,68,1.3823529411764706,4.382352941176471,Good (60-70)
AFITNE,67.23,73,0.4520547945205479,4.397260273972603,Good (60-70)
AIIT,45.04,60,1.1833333333333331,4.066666666666666,Poor (<50)
AINIMOER,70.67,109,0.8807339449541285,4.614678899082569,Very Good (70-80)
AKAMC,66.8,194,1.2061855670103092,3.9690721649484537,Good (60-70)
AKARMY,61.14,87,0.8620689655172413,3.8620689655172415,Good (60-70)
ALARION,62.22,50,0.14,3.78,Good (60-70)
ALDO,59.11,63,0.8253968253968254,4.095238095238095,Fair (50-60)
ALEADER,71.97,543,2.460405156537753,4.267034990791897,Very Good (70-80)
ALLEGRACE,68.2,547,1.1974405850091407,4.193784277879342,Good (60-70)
ALLTB,69.36,53,0.6226415094339622,4.377358490566038,Good (60-70)
ALTRA,67.21,285,1.0,4.126315789473685,Good (60-70)
ALVISH,74.78,84,1.9642857142857144,4.607142857142857,Very Good (70-80)
ALWAYS,68.05,203,0.5714285714285714,4.369458128078818,Good (60-70)
ALYSSA,70.29,183,1.8032786885245904,4.311475409836065,Very Good (70-80)
AMCLOS,64.36,70,0.4571428571428571,4.085714285714285,Good (60-70)
AMERICAN TOURISTER,71.97,89,1.820224719101124,4.730337078651686,Very Good (70-80)
AMORE ALLFY,66.16,188,0.425531914893617,4.138297872340425,Good (60-70)
AMOURRI,67.43,51,0.4509803921568627,4.235294117647059,Good (60-70)
AMZ PLUS,72.12,69,1.710144927536232,4.202898550724638,Very Good (70-80)
AMiERY,65.98,210,1.0333333333333334,4.038095238095238,Good (60-70)
ANDOILT,63.55,61,0.4590163934426229,4.426229508196721,Good (60-70)
ANIXAY,67.67,59,1.1355932203389831,3.983050847457627,Good (60-70)
ANLUKE,62.62,116,0.3706896551724138,4.181034482758621,Good (60-70)
ANNA,69.03,89,2.303370786516854,4.022471910112359,Good (60-70)
ANNYISON,69.15,60,0.6166666666666667,4.416666666666667,Good (60-70)
ANRABESS,67.22,441,1.8526077097505669,4.156462585034014,Good (60-70)
ANZERMIX,72.06,99,2.787878787878788,4.303030303030303,Very Good (70-80)
AOMIDI,80.79,103,5.932038834951456,4.524271844660194,Excellent (80-100)
